Time (ms), Relative Humidity (percent)
10045,24.5546875
10532,24.5556640625
11030,24.5771484375
11502,24.56640625
12110,24.544921875
12502,24.544921875
13100,24.5556640625
13575,24.5556640625
14109,24.39453125
14526,24.544921875
15026,24.5341796875
15584,24.5556640625
16002,24.544921875
16533,24.53515625
17026,24.5244140625
17532,24.525390625
18002,24.525390625
18601,24.525390625
19101,24.5361328125
19550,24.525390625
20057,24.525390625
20501,24.5146484375
21002,24.4931640625
21558,24.5263671875
22038,24.5361328125
22526,24.537109375
23026,24.375
23597,24.5263671875
24002,24.5263671875
24546,24.515625
25026,24.5048828125
25595,24.4619140625
26105,24.5048828125
26502,24.5263671875
27026,24.515625
27527,24.5048828125
28026,24.5048828125
28602,24.5478515625
29001,24.494140625
29527,24.494140625
30032,24.505859375
30502,24.505859375
31001,24.4951171875
31533,24.4736328125
32030,24.35546875
32526,24.484375
33002,24.4951171875
33608,24.4951171875
34062,24.484375
34547,24.4736328125
35110,24.49609375
35526,24.484375
36109,24.4853515625
36526,24.4853515625
37095,24.474609375
37565,24.484375
38104,24.4208984375
38502,24.4853515625
39002,24.49609375
39502,24.474609375
40057,24.4638671875
40546,24.474609375
41026,24.4638671875
41527,24.4638671875
42002,24.474609375
42502,24.5498046875
43050,24.4638671875
43526,24.474609375
44002,24.46484375
44598,24.185546875
45026,24.46484375
45526,24.615234375
46001,24.46484375
46606,24.4755859375
47002,24.46484375
47606,24.37890625
48026,24.46484375
48605,24.4541015625
49002,24.46484375
49584,24.46484375
50094,24.443359375
50502,24.46484375
51002,24.46484375
51527,24.4755859375
52062,24.5185546875
52502,24.443359375
53002,24.4541015625
53527,24.443359375
54026,24.294921875
54502,24.4658203125
55002,24.4326171875
55598,24.4541015625
56068,24.4541015625
56502,24.5205078125
57002,24.4443359375
57502,24.43359375
58066,24.455078125
58526,24.4453125
59105,24.4453125
59501,24.4560546875
60032,24.4453125
60502,24.455078125
61002,24.4453125
61603,24.4560546875
62103,24.466796875
62502,24.4453125
63002,24.4560546875
63602,24.57421875
64002,24.4560546875
64502,24.4453125
